"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueDTW","timeExec_sys","timeExec_elap"
1,27,"seasplit",1322,872,"-1",1,0,0.00247453687909454,0.000102893740617777,0,0.00399999999899592
1,28,"ssa",1321,871,"-1",1,0,0.00447511208105924,0.000127438606377143,0,0.0840000000007421
1,28,"stine",1321,871,"-1",1,0,0.00224649688517349,0.000104598277565677,0,0.00100000000020373
1,28,"locf",1321,871,"-1",1,0,0.00193609656866673,9.63753210356484e-05,1e-14,0.000999999998394737
1,28,"MAE",1321,871,"-1",1,0,0.00187180997820505,0.000114412539256522,0,0.00100000000020373
1,28,"seadec",1321,871,"-1",1,0,0.00273907927538842,0.000124354886613468,0,0.00900000000001455
1,28,"seasplit",1321,871,"-1",1,0,0.00246307384445147,9.98705637299264e-05,0,0.00300000000061118
1,29,"ssa",1320,870,"-1",1,0,0.00466109064863271,0.00015437946097002,0,0.0720000000001164
1,29,"stine",1320,870,"-1",1,0,0.00330281481866558,0.000122202773175431,0,0.00100000000020373
1,29,"locf",1320,870,"-1",1,0,0.00386112916059263,0.000121973221676869,1e-14,0.00100000000021373
1,29,"MAE",1320,870,"-1",1,0,0.00206889830868768,0.000122990268664183,0,0
1,29,"seadec",1320,870,"-1",1,0,0.00259014191578468,0.000118166141817358,0,0.00900000000001455
1,29,"seasplit",1320,870,"-1",1,0,0.00245892460012269,0.000107122457905991,0,0.00300000000061118
1,30,"ssa",1319,869,"1",1,0,0.00486493425478713,0.000153772905128777,0,0.0760000000009313
1,30,"stine",1319,869,"1",1,0,0.00286665949818875,0.000132729726088891,0,0.000999999998384737
1,30,"locf",1319,869,"1",1,0,0.00272467649019936,0.000115394637584314,1e-14,1e-14
1,30,"MAE",1319,869,"1",1,0,0.0021348473132438,0.000130409531136527,0,0.00100000000020373
1,30,"seadec",1319,869,"1",1,0,0.00245606737018626,0.000117433655835596,0,0.00900000000001455
1,30,"seasplit",1319,869,"1",1,0,0.00245941577339402,0.000107435504108434,0,0.00299999999879219
1,31,"ssa",1318,868,"-1",1,0,0.00512514564275918,0.000146866008788576,0.00399999999999778,0.0889999999999418
1,31,"stine",1318,868,"-1",1,0,0.00392573404358414,0.000141297512478551,0,0.00100000000020373
1,31,"locf",1318,868,"-1",1,0,0.00426452367222721,0.000127278639107689,1e-14,1e-14
1,31,"MAE",1318,868,"-1",1,0,0.00231779890244672,0.000143850722923163,0,0
1,31,"seadec",1318,868,"-1",1,0,0.00268799941877421,0.000134587067984759,0,0.00900000000001455
1,31,"seasplit",1318,868,"-1",1,0,0.00245583247023614,0.000105423788301971,0,0.00300000000061118
1,32,"ssa",1317,868,"-1",1,0,0.00513837225258145,0.000148052915939167,0,0.0730000000003201
1,32,"stine",1317,868,"-1",1,0,0.00235209335770045,0.000138188715617215,0,0.00100000000020373
1,32,"locf",1317,868,"-1",1,0,0.00213538619487018,0.000121368880218366,1e-14,0.000999999998394737
1,32,"MAE",1317,868,"-1",1,0,0.00224697065197739,0.000138231055023545,0,0
1,32,"seadec",1317,868,"-1",1,0,0.0024021837218544,0.00012678099687959,0,0.00799999999981083
1,32,"seasplit",1317,868,"-1",1,0,0.00235414402510153,0.000119572865282602,0,0.00300000000061118
1,33,"ssa",1316,867,"-1",1,0,0.00531515465303355,0.00014811673415817,0,0.0740000000005239
1,33,"stine",1316,867,"-1",1,0,0.00262626330827796,0.000127962865118114,0,0.00100000000020373
1,33,"locf",1316,867,"-1",1,0,0.0022027262209404,0.000120733818968646,1e-14,0.00100000000021373
1,33,"MAE",1316,867,"-1",1,0,0.00229127368835329,0.000137344601641176,0,0
1,33,"seadec",1316,867,"-1",1,0,0.0023575825755639,0.000128226981100316,0,0.00900000000001455
1,33,"seasplit",1316,867,"-1",1,0,0.00294189921436571,0.000110897528864354,0,0.00299999999879219
1,34,"ssa",1315,867,"-1",1,0,0.00550968444719194,0.000156084918360036,0,0.0750000000007276
1,34,"stine",1315,867,"-1",1,0,0.00255565565617657,0.000129992563217674,0,0.00100000000020373
1,34,"locf",1315,867,"-1",1,0,0.00209001889495795,0.000126352186690437,1e-14,0.000999999998394737
1,34,"MAE",1315,867,"-1",1,0,0.00241117896066066,0.000142572765416981,0,0
1,34,"seadec",1315,867,"-1",1,0,0.00233933368215609,0.0001287906874225,0,0.00900000000001455
1,34,"seasplit",1315,867,"-1",1,0,0.0029077746505887,0.00012031388464157,0,0.00399999999899592
1,35,"ssa",1314,867,"-1",1,0,0.00568085666497236,0.000173413948790151,0,0.0759999999991123
1,35,"stine",1314,867,"-1",1,0,0.00237088394225035,0.000132357625513045,0,0.00100000000020373
1,35,"locf",1314,867,"-1",1,0,0.00211824580989133,0.00013790617144576,1e-14,1e-14
1,35,"MAE",1314,867,"-1",1,0,0.00259459032374847,0.000147934145141903,0,0
1,35,"seadec",1314,867,"-1",1,0,0.00231656460668485,0.000128694392178392,0,0.00800000000162981
1,35,"seasplit",1314,867,"-1",1,0,0.00288652737338747,0.000130545562473679,0,0.00399999999899592
1,36,"ssa",1313,867,"-1",1,0,0.00583542950890653,0.000178845622173325,0,0.0730000000003201
1,36,"stine",1313,867,"-1",1,0,0.00242547545976062,0.000132292224735478,0,0.00100000000020373
1,36,"locf",1313,867,"-1",1,0,0.00214433286986774,0.000139075606026277,1e-14,1e-14
1,36,"MAE",1313,867,"-1",1,0,0.00272918782258465,0.000151697893495059,0,0
1,36,"seadec",1313,867,"-1",1,0,0.0023489801022522,0.00013020047103633,0,0.00900000000001455
1,36,"seasplit",1313,867,"-1",1,0,0.00290254925600211,0.000126490797282654,0,0.00399999999899592
1,37,"ssa",1312,866,"-1",1,0,0.00599103337499564,0.000179024775132685,0,0.0789999999997235
1,37,"stine",1312,866,"-1",1,0,0.00463805027880394,0.000177736746096666,0,0.00100000000020373
1,37,"locf",1312,866,"-1",1,0,0.00547037931064487,0.000149101020719111,1e-14,1e-14
1,37,"MAE",1312,866,"-1",1,0,0.00289009224122673,0.000180475207108516,0,0.00100000000020373
1,37,"seadec",1312,866,"-1",1,0,0.00297678007219375,0.000172961234140246,0,0.00900000000001455
1,37,"seasplit",1312,866,"-1",1,0,0.00292867650547757,0.000134104792630662,0,0.00499999999919964
1,38,"ssa",1311,865,"-1",1,0,0.00599697608882173,0.000178360996449407,0,0.081000000000131
1,38,"stine",1311,865,"-1",1,0,0.00294093808329113,0.000144769065018978,0,0.00100000000020373
1,38,"locf",1311,865,"-1",1,0,0.0025999223733276,0.000148898500292687,1e-14,1e-14
1,38,"MAE",1311,865,"-1",1,0,0.00294595580016636,0.000156904243490269,0,0.00100000000020373
1,38,"seadec",1311,865,"-1",1,0,0.00266823701120157,0.000144114134707483,0,0.00899999999819556
1,38,"seasplit",1311,865,"-1",1,0,0.00308106645876888,0.00012643438414564,0,0.00400000000081491
1,39,"ssa",1310,864,"-1",1,0,0.00625377124209827,0.000184834552167797,0,0.0729999999985012
1,39,"stine",1310,864,"-1",1,0,0.00329094642094804,0.000189933315109671,0,0.00100000000020373
1,39,"locf",1310,864,"-1",1,0,0.00271479029550039,0.000167607587142915,1e-14,1e-14
1,39,"MAE",1310,864,"-1",1,0,0.00310718008493868,0.000165346787897683,0,0
1,39,"seadec",1310,864,"-1",1,0,0.00246372049737253,0.000150617927137117,0,0.00900000000001455
1,39,"seasplit",1310,864,"-1",1,0,0.00310523959930472,0.000121980198405544,0,0.00400000000081491
1,40,"ssa",1309,864,"-1",1,0,0.00639495023755966,0.000196041924531248,0,0.0720000000001164
1,40,"stine",1309,864,"-1",1,0,0.00303604028022361,0.000178569667807384,0,0.00100000000020373
1,40,"locf",1309,864,"-1",1,0,0.00266033049743953,0.00015338972583684,1e-14,1e-14
1,40,"MAE",1309,864,"-1",1,0,0.00317439033566151,0.000159210867811359,0,0
1,40,"seadec",1309,864,"-1",1,0,0.0028823353333149,0.000154523744430543,0,0.00900000000001455
1,40,"seasplit",1309,864,"-1",1,0,0.0112860431382152,0.000377908027015742,0,0.00300000000061118
1,41,"ssa",1308,863,"1",1,0,0.00668996450812299,0.000219164394149742,0,0.0720000000001164
1,41,"stine",1308,863,"1",1,0,0.00402220168675514,0.000218620440377445,0,0.00100000000020373
1,41,"locf",1308,863,"1",1,0,0.00310346060262854,0.000165040427780094,1e-14,0.00100000000021373
1,41,"MAE",1308,863,"1",1,0,0.00333965629976721,0.000175340299294892,0,0
1,41,"seadec",1308,863,"1",1,0,0.00308250016908824,0.000161665543991323,0,0.00900000000001455
1,41,"seasplit",1308,863,"1",1,0,0.0113883106217367,0.000372950073804257,0,0.00400000000081491
1,42,"ssa",1307,863,"-1",1,0,0.00704494278924813,0.000237010133850541,0,0.0709999999999127
1,42,"stine",1307,863,"-1",1,0,0.00308827419903794,0.00016426110638458,0,0.00100000000020373
1,42,"locf",1307,863,"-1",1,0,0.00298028590709202,0.00017162626668748,1e-14,1e-14
1,42,"MAE",1307,863,"-1",1,0,0.00363987771577851,0.000192157071133809,0,0.00100000000020373
1,42,"seadec",1307,863,"-1",1,0,0.00311482449819302,0.000164576178503175,0,0.0100000000002183
1,42,"seasplit",1307,863,"-1",1,0,0.0113807614989758,0.000366875206828221,0,0.00700000000142609
1,43,"ssa",1306,863,"-1",1,0,0.00741127289941827,0.000279275387839303,0,0.081000000000131
1,43,"stine",1306,863,"-1",1,0,0.00273051972700407,0.000163907112572191,0,0.00100000000020373
1,43,"locf",1306,863,"-1",1,0,0.00236187676172578,0.000168932537674812,0.00100000000000767,1e-14
1,43,"MAE",1306,863,"-1",1,0,0.00381856218615999,0.000197598533658756,0,0
1,43,"seadec",1306,863,"-1",1,0,0.00270902344790182,0.00016226296923734,0,0.0100000000002183
1,43,"seasplit",1306,863,"-1",1,0,0.0113761587202947,0.000380656899025263,0,0.00400000000081491
1,44,"ssa",1305,862,"-1",1,0,0.00780278124158357,0.000299584613311274,0,0.0850000000009459
1,44,"stine",1305,862,"-1",1,0,0.00591914553360896,0.000243610199703588,0,0.00100000000020373
1,44,"locf",1305,862,"-1",1,0,0.00744346764018291,0.000202904092802089,1e-14,0.00100000000021373
1,44,"MAE",1305,862,"-1",1,0,0.00390858872867549,0.000234272410597648,0,0
1,44,"seadec",1305,862,"-1",1,0,0.00413913801224976,0.000243236653048164,0,0.00900000000001455
1,44,"seasplit",1305,862,"-1",1,0,0.0114244831589638,0.000390346523331693,0,0.00399999999899592
1,45,"ssa",1304,861,"1",1,0,0.0077976626082508,0.000301612161834475,0,0.0729999999985012
1,45,"stine",1304,861,"1",1,0,0.00511554726830363,0.00032732234505624,0,0
1,45,"locf",1304,861,"1",1,0,0.00352379459076569,0.000182867572292203,1e-14,1e-14
1,45,"MAE",1304,861,"1",1,0,0.00386211757374832,0.000220737594469089,0,0
