"gapSize","method","rmse","sdRmse","error"
56,"MAE",0.00839951162536041,0.00148297853241084,0.000445389668982698
56,"seadec",0.00876751879892273,0.00379345781000828,0.00113930639006132
56,"seasplit",0.00927527796218525,0.00340294088079004,0.00102202066944209
57,"ssa",0.0103635022791683,0.00139060783378981,0.00041764755810019
57,"stine",0.0107770474077106,0.00846188432483675,0.00254139609983567
57,"locf",0.0111648038818585,0.012324576527633,0.00370149596910934
57,"MAE",0.00886445836502953,0.00136112277647859,0.000408792177102576
57,"seadec",0.00918780601471342,0.00632778167444988,0.00190045137119843
57,"seasplit",0.00907863558067237,0.00335746113024313,0.00100836152967789
58,"ssa",0.0106372332974464,0.00139534479338827,0.000419070230661818
58,"stine",0.00861645639680386,0.00238114085888962,0.000715138834287738
58,"locf",0.00775331154722702,0.00248137417443628,0.00074524236057398
58,"MAE",0.00935007793925751,0.00126680790436863,0.000380466163777952
58,"seadec",0.00779493129858043,0.00215734558115373,0.000647925383457374
58,"seasplit",0.00897867251415276,0.00293862807499935,0.000882571498495994
59,"ssa",0.010891665293274,0.00135655624178145,0.00040742068902456
59,"stine",0.00854193946952288,0.00188583025677719,0.000566379954575675
59,"locf",0.00786026982145039,0.00196587602579261,0.000590420463447564
59,"MAE",0.00986667347659332,0.00124338003443554,0.000373429965339188
59,"seadec",0.00768143521629335,0.00196785129539933,0.000591013705127777
59,"seasplit",0.00898509202269596,0.00296886920394038,0.000891653953915503
60,"ssa",0.0110997070842559,0.00136758652591667,0.000410733464288936
60,"stine",0.0107016527505722,0.00550930276079572,0.00165463388668696
60,"locf",0.00986595385560438,0.00773380410839865,0.00232272846608034
60,"MAE",0.0104442917511403,0.00122582142190475,0.000368156507597242
60,"seadec",0.00853866866997741,0.00387764618103555,0.00116459106538502
60,"seasplit",0.00909242283854626,0.00294469044124309,0.000884392236447043
61,"ssa",0.0113246020885799,0.00139545227566416,0.000419102511301243
61,"stine",0.00925575372056097,0.00264229504899823,0.000793572456719768
61,"locf",0.00812947525180766,0.00235015818547059,0.000705833667451729
61,"MAE",0.0109840421182387,0.00122788724613578,0.000368776945958502
61,"seadec",0.00795327287517212,0.00237138738343513,0.000712209528765665
61,"seasplit",0.00910874156158234,0.00300890246216598,0.000903677323937192
62,"ssa",0.0116395309529209,0.00148460319163743,0.000445877610257184
62,"stine",0.00911849438716425,0.00222968974522218,0.000669652834383381
62,"locf",0.00801629339079115,0.00265764860706022,0.000798183660451638
62,"MAE",0.0116435367042522,0.00127112168054632,0.000381761739743388
62,"seadec",0.00796105665974317,0.00234082605560922,0.000703030906562735
62,"seasplit",0.0091463848071961,0.00303480692271681,0.00091145732806925
63,"ssa",0.0119563587325734,0.00151976868705964,0.00045643902299743
63,"stine",0.00895668702679787,0.00277599460067883,0.000833727049496881
63,"locf",0.00791885088407763,0.00241646451890091,0.000725747749316405
63,"MAE",0.0123602999096566,0.00124894924655035,0.000375102592073899
63,"seadec",0.00787319602114656,0.00237163090853107,0.000712282667762285
63,"seasplit",0.00954288051302201,0.00357926766362137,0.00107497769189497
64,"ssa",0.0122521082079512,0.00157283004701955,0.000472375181904529
64,"stine",0.00870001772819577,0.00207222809422339,0.000622361662540314
64,"locf",0.00840716383139821,0.00261184611836107,0.000784427591274335
64,"MAE",0.0130635833208667,0.00126247388078536,0.000379164506817366
64,"seadec",0.00820331954245488,0.00220289844970114,0.000661606483082303
64,"seasplit",0.00962782578311502,0.00357105265721002,0.00107251044175866
65,"ssa",0.0125908478760609,0.00157323999034788,0.000472498302043704
65,"stine",0.0113974268621953,0.00536051331006906,0.00160994727608611
65,"locf",0.0102030429104196,0.00675840382143402,0.00202978207377448
65,"MAE",0.0137946957670358,0.0012321028905763,0.000370043049574217
65,"seadec",0.00888067888637367,0.00375278645060862,0.00112709137621978
65,"seasplit",0.00988777790821363,0.00359622725580478,0.00108007124313902
66,"ssa",0.0129484148030474,0.00163488985703541,0.00049101388613119
66,"stine",0.00964769702441148,0.00397579278183225,0.0011940678791657
66,"locf",0.009450871702781,0.00550027107991395,0.00165192136100276
66,"MAE",0.0145297832814771,0.00122081103091091,0.000366651714144438
66,"seadec",0.00830378525771513,0.00302389203116775,0.000908179209183662
